"","Hora","Viernes.1","Lunes.1","Martes.1","Miercoles.1","Jueves.1","Lunes.2","Martes.2"
"1","7:00",NA,NA,NA,NA,NA,NA,NA
"2","7:05",NA,NA,NA,NA,NA,NA,NA
"3","7:10",NA,NA,NA,NA,NA,NA,NA
"4","7:15",NA,NA,NA,NA,NA,NA,NA
"5","7:20",NA,NA,NA,NA,NA,NA,NA
"6","7:25",NA,NA,NA,NA,NA,NA,NA
"7","7:30",NA,NA,NA,NA,NA,NA,NA
"8","7:35",NA,NA,NA,NA,NA,NA,NA
"9","7:40",NA,NA,NA,NA,NA,NA,NA
"10","7:45",NA,NA,NA,NA,NA,NA,NA
"11","7:50",NA,NA,NA,NA,NA,NA,NA
"12","7:55",NA,NA,NA,NA,NA,NA,NA
"13","8:00",NA,NA,NA,NA,NA,NA,NA
"14","8:05",NA,NA,NA,NA,NA,NA,NA
"15","8:10",NA,NA,NA,3,NA,NA,NA
"16","8:15",NA,NA,NA,2,NA,NA,NA
"17","8:20",NA,NA,NA,4,NA,NA,NA
"18","8:25",NA,NA,NA,1,NA,NA,NA
"19","8:30",NA,NA,NA,6,NA,NA,NA
"20","8:35",NA,NA,NA,1,NA,NA,NA
"21","8:40",NA,NA,NA,5,NA,NA,NA
"22","8:45",NA,NA,NA,5,NA,NA,NA
"23","8:50",NA,NA,NA,3,NA,NA,NA
"24","8:55",NA,NA,NA,2,NA,3,NA
"25","9:00",NA,NA,NA,NA,NA,5,NA
"26","9:05",NA,NA,NA,NA,NA,2,NA
"27","9:10",NA,NA,NA,3,8,3,NA
"28","9:15",NA,NA,NA,5,3,2,NA
"29","9:20",NA,NA,NA,4,0,3,NA
"30","9:25",NA,NA,NA,2,2,2,NA
"31","9:30",NA,NA,NA,0,2,1,NA
"32","9:35",NA,NA,NA,0,1,3,NA
"33","9:40",NA,NA,NA,0,0,4,NA
"34","9:45",NA,NA,NA,0,3,2,NA
"35","9:50",NA,NA,NA,1,3,3,NA
"36","9:55",NA,NA,NA,5,4,2,NA
"37","10:00",NA,NA,NA,NA,3,4,NA
"38","10:05",NA,NA,NA,2,2,NA,NA
"39","10:10",NA,NA,6,3,6,3,NA
"40","10:15",NA,NA,3,0,3,3,NA
"41","10:20",NA,NA,3,1,3,3,NA
"42","10:25",NA,NA,3,2,3,5,NA
"43","10:30",NA,NA,2,1,2,2,NA
"44","10:35",NA,NA,4,2,4,4,NA
"45","10:40",12,NA,4,3,4,4,NA
"46","10:45",4,NA,NA,4,6,1,NA
"47","10:50",5,NA,NA,5,8,4,NA
"48","10:55",3,NA,NA,7,2,1,NA
"49","11:00",3,NA,3,NA,NA,1,NA
"50","11:05",3,NA,2,5,NA,3,NA
"51","11:10",6,NA,NA,2,NA,NA,NA
"52","11:15",2,NA,NA,2,NA,NA,NA
"53","11:20",4,NA,NA,1,NA,NA,NA
"54","11:25",3,NA,NA,1,NA,NA,NA
"55","11:30",2,NA,NA,1,NA,NA,NA
"56","11:35",4,NA,NA,0,NA,NA,NA
"57","11:40",1,1,NA,1,NA,NA,NA
"58","11:45",0,0,NA,1,NA,NA,NA
"59","11:50",1,1,NA,0,NA,NA,NA
"60","11:55",3,3,NA,4,NA,NA,NA
"61","12:00",2,2,NA,3,NA,NA,NA
"62","12:05",3,3,NA,0,NA,NA,NA
"63","12:10",0,0,NA,1,3,NA,NA
"64","12:15",4,4,NA,0,2,NA,NA
"65","12:20",1,1,NA,1,2,NA,NA
"66","12:25",6,NA,NA,3,2,NA,NA
"67","12:30",5,5,NA,2,6,NA,6
"68","12:35",5,5,NA,1,3,NA,NA
"69","12:40",9,9,NA,6,6,NA,NA
"70","12:45",7,7,NA,6,5,NA,NA
"71","12:50",8,8,NA,12,5,NA,NA
"72","12:55",5,5,7,5,NA,NA,NA
"73","13:00",3,NA,8,NA,5,NA,NA
"74","13:05",5,NA,4,NA,0,NA,NA
"75","13:10",4,NA,3,NA,4,NA,NA
"76","13:15",3,NA,3,NA,3,NA,NA
"77","13:20",1,NA,4,NA,4,NA,NA
"78","13:25",1,NA,2,NA,0,NA,NA
"79","13:30",3,NA,4,NA,2,NA,NA
"80","13:35",1,NA,0,NA,3,NA,NA
"81","13:40",0,NA,0,NA,0,NA,NA
"82","13:45",2,NA,0,NA,3,NA,NA
"83","13:50",1,NA,2,NA,1,NA,NA
"84","13:55",5,NA,3,NA,1,NA,NA
"85","14:00",3,NA,2,NA,1,NA,NA
"86","14:05",2,NA,3,NA,1,NA,NA
"87","14:10",1,NA,2,NA,1,NA,NA
"88","14:15",2,NA,1,NA,0,NA,NA
"89","14:20",1,NA,3,NA,1,NA,NA
"90","14:25",2,NA,2,NA,6,NA,NA
"91","14:30",2,NA,NA,NA,1,NA,NA
"92","14:35",0,NA,NA,NA,2,NA,NA
"93","14:40",1,NA,NA,NA,2,NA,NA
"94","14:45",1,NA,NA,NA,2,NA,NA
"95","14:50",0,NA,NA,NA,5,NA,NA
"96","14:55",0,NA,NA,NA,3,NA,NA
"97","15:00",0,5,6,NA,3,NA,NA
"98","15:05",1,3,2,NA,2,NA,NA
"99","15:10",0,1,0,NA,0,NA,NA
"100","15:15",1,1,1,NA,1,NA,NA
"101","15:20",1,2,0,NA,2,NA,NA
"102","15:25",0,1,0,NA,2,NA,NA
"103","15:30",2,2,0,NA,2,NA,NA
"104","15:35",3,0,1,NA,2,NA,NA
"105","15:40",1,0,1,NA,NA,NA,NA
"106","15:45",2,1,1,NA,NA,NA,NA
"107","15:50",0,0,2,NA,NA,NA,NA
"108","15:55",1,2,0,NA,NA,NA,NA
"109","16:00",NA,0,2,NA,NA,1,NA
"110","16:05",NA,1,0,NA,NA,1,NA
"111","16:10",NA,0,1,NA,NA,0,NA
"112","16:15",NA,1,0,NA,NA,1,NA
"113","16:20",NA,2,2,NA,NA,0,NA
"114","16:25",NA,1,0,NA,NA,NA,NA
"115","16:30",NA,2,5,NA,NA,NA,2
"116","16:35",NA,1,2,NA,NA,NA,0
"117","16:40",NA,NA,NA,NA,NA,NA,0
"118","16:45",NA,NA,2,NA,NA,NA,0
"119","16:50",NA,NA,3,NA,NA,NA,0
"120","16:55",NA,NA,5,NA,NA,NA,NA
